OTUID,Domain,Phylum,Class,Order,Family,Genus,Species
fec4285d8cf8931d9d4dc93739888492,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,uncultured,uncultured_gamma
0ae850c302eb9d21f90bc3cb2fd324fb,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Psychromonadaceae,Psychromonas,uncultured_proteobacterium
ab713e002b57ca94bf61902857da1c58,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,
80f35d3ef6b4d872c33dd29541a2a7d9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ahrensia,
1f8fdaec6ca62f806ce26b7b5c7de8ff,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,uncultured_bacterium
159bdd8985027143bf1c5e01a7b5c00e,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Colwelliaceae,Colwellia,
1492f49260a3075078468cc14ee570b3,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,uncultured,uncultured_bacterium
2d60427f00cdf16ce891d052d7a79178,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
be9fa3b5e95cfd3e838f1a55a57e53d3,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,
99a5afab16797b6956bfbf2f630035a2,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Aliivibrio,
88b8b4abaf70c3f84989de685340403e,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group,unidentified_marine
fc0912ad1930ac7ed45b245775b75abd,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,,
a8582d39cc9bf04298c650728e7672bf,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
650d95b862f9f5e0730c97609bbd0881,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,UBA10353_marine_group,UBA10353_marine_group,
433e05c15c4b16f962ef9cc97370329c,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,uncultured,uncultured_bacterium
79786b57d0c3fefd2837714f0fc2b768,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,uncultured,
08f90a131e0b3ee5a29ddc9b5d2e2ee7,Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,Phormidesmis_ANT.LACV5.1,
285cb9f793bbe7d3f46bbd27ecae962d,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,,
d45cd345bd4d868de3a730fe50410f22,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Candidatus_Thiobios,uncultured_gamma
02e940275ecf2fb3813d3d3846dc96c1,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,
e68dd58e2b59dd5be6019cd779552a53,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Reichenbachiella,uncultured_bacterium
73941eb8b6c4cce62f8edb56ac2bf526,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007,
816989799c9a73ce67a968f3d8addd7a,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,KI89A_clade,KI89A_clade,
f1b031a9198f82c7faf2e39acf65bdbd,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,uncultured,uncultured_sediment
389de9ce54928cff34b4e025b34f5954,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,
4d9b837b48bf8f12ec88f3d01b6735e2,Bacteria,Proteobacteria,Gammaproteobacteria,Granulosicoccales,Granulosicoccaceae,Granulosicoccus,
db8bd0e63cb2176aa34e81b365fd2f0a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
c054c2f7aee62c43ab06e760b0424c21,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae,uncultured,uncultured_bacterium
696c440eedd445eadd37cbe8820a6c1d,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Fulvivirga,uncultured_bacterium
49ea46a80932258ccf2658a714709203,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Portibacter,uncultured_Bacteroidetes
9685e0ef2e145fe2eb6bca9574d48726,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
ee3baa151770c3aedcd068e90071b5c7,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,
53c7a6029709d645ed919cd1f701f070,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Eudoraea,uncultured_bacterium
e5f5498df595176ab56e65274eb193c1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Eionea,uncultured_Eionea
dfa7fc1a9b888afc72ce569537c2b3af,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudahrensia,uncultured_bacterium
f0c8beb378b3e0a7a0f2d25ba43ebef6,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,,
36fefb91454a25fa03cfc7f6aaa68397,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rubripirellula,uncultured_planctomycete
da3e83bffdba94a0a40ba10898422ee6,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Algitalea,uncultured_bacterium
e838e6162fae38c53f8644779d04ad9c,Bacteria,Proteobacteria,Gammaproteobacteria,EPR3968-O8a-Bc78,EPR3968-O8a-Bc78,EPR3968-O8a-Bc78,uncultured_gamma
23b5416f9646484e118e47f9070adf5f,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
637561dd97853a41ceb84bb0ae0e0a98,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ulvibacter,uncultured_marine
b538e185f47f1d5a0dd0a54a7e61a557,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
eff0d1cb684cfe70d4356b38b04b04e6,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,uncultured,uncultured_marine
61389d2b670f62c99c01abe4ceba16fe,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Haloferula,uncultured_bacterium
e19cea9bb4ad8dba02a71ae7e1ff543e,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,IS-44,
961c05519f7c0f4fa6bddd5d709949b4,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_CC9902,
9dfcba40baf75fe8068f37f143cb8a09,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,
5835da7fb1d9d4717f34a30db9eb5e5a,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,
53bf305a3be49e5f272a42275a5e918c,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,UBA10353_marine_group,UBA10353_marine_group,uncultured_bacterium
2bc70c5f79c8eb9fccc0755fdcddbb6b,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,,
3d7aee0bee55b41348a948b42747bd85,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,uncultured_delta
02247eafb76c182606a0d382219efd82,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
17f81ebbd237a66ff4f989c3b1907caf,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Portibacter,Portibacter_lacus
e151ed46376d53493e628d9a4ecba588,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Halioglobus,uncultured_bacterium
6536c41dfcf3313d417e2e29346efea8,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,
2c44c585d908b7e241f83fc8ab950318,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquimarina,
d5dfe5965d102993430c2dd013bd79d5,Bacteria,Proteobacteria,Gammaproteobacteria,Tenderiales,Tenderiaceae,Candidatus_Tenderia,uncultured_gamma
54fe624e3339679cfbb276b0088be09c,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,uncultured_bacterium
42ce60641a37661925d4c7feceeca408,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,IMCC26207,uncultured_bacterium
c3cb1081eb959561141932450c0027dd,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Spongiibacteraceae,BD1-7_clade,uncultured_gamma
c1e54c62f8551d1e49b542fc340cd93f,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Sva0081_sediment_group,uncultured_bacterium
36f07d79a23484a0136eedb1c08aa1f2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Psychroglaciecola,uncultured_bacterium
750b5717a4cc70f54036d1cde654919b,Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,Phormidium_MBIC10003,Phormidium_sp.
0d3404e2c443faf2c63911989b1c01bb,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,PHOS-HE36,PHOS-HE36,uncultured_bacterium
61eea7b7cd969acd5e58c40ed8b58a78,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ekhidna,uncultured_Flexibacter
e59946dad4573e3a307539d14c0b2220,Bacteria,Planctomycetota,OM190,OM190,OM190,OM190,uncultured_planctomycete
084f3840580d2c3e9cf12e189220fcdd,Bacteria,NB1-j,NB1-j,NB1-j,NB1-j,NB1-j,uncultured_organism
3e296b1d32cd36b8cb6578b90d6f7c8b,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,
c1375c446e125054ccbc15d2dabb426f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
018029f6b8e866e9386d8cc9945bb0ec,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,
ee9cc454be50e5a2a90b7a7c6d40c75d,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ascidiimonas,uncultured_bacterium
7702595da351dbd680ca4db37a9af1bf,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutimonas,uncultured_bacterium
8442f104b4226a9c2af5845a39477cd9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,,
9202f5906a8176d09844995e5e83f92a,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Actibacter,
fbbd1c66b3cb0e561cd608dc96d69f2f,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Litorimonas,uncultured_marine
0c5e024059ceefcdd18472b6f1f23776,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,uncultured,uncultured_bacterium
c0bb75de1ed2e67d7c92edfd718f2547,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,,
c7949d079db1f9de5b950ff39e0a316d,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Lentimonas,uncultured_bacterium
bb41e107868260781ba7893e5473d7eb,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured_bacterium
f3dc86470adc32fc720f9142a57c13e8,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudohongiellaceae,Pseudohongiella,
d99ce330a8317c716ea3f32feea42b3a,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,
e59292083ac6ccfa23fc2f53fe836aaa,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
42660584197c522e65e994d1e6ade595,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Sulfurimonadaceae,Sulfurimonas,
591cf17b3a6ad2e22c692cd2fcbca94b,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,uncultured_bacterium
845b0e1f8229bc9c39241c257db934e9,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,PS1_clade,PS1_clade,uncultured_bacterium
552425a6b934b6343389bfb0138d3235,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cognatishimia,uncultured_bacterium
6fb4a609624cd8e127344865fed92584,Bacteria,Planctomycetota,OM190,OM190,OM190,OM190,
19a76dd7acb31f87c5683ab3b6750a69,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,,
eee923cace7829285a96935985167b96,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,
6e365e405b903e8a5a85530f4a560f51,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,DEV007,DEV007,uncultured_bacterium
989ba68c8b17d668cd8bdca6c6fdcb5b,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hellea,uncultured_Alphaproteobacteria
580905c97510c594809a855d0a39f427,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,,
7382177ebeeaf3d77f7dd0fdbb42e733,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Algibacter,
ac2bed9e318e610d147e7f79e83ae390,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Taeseokella,Bacteroidetes_bacterium
a1ac5f1424b4bddad1194e2592549256,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,uncultured_bacterium
9ca2da56bbdd90e5c9e4e23f376beceb,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,uncultured,
9ff9431132d52f46604225cef6376eca,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
c55d36f2491b742a2d08f7525661c812,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,,
8879c783c50056439891d302149bc5ee,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,uncultured_bacterium
5a4078481bcc694f7fc469df648c34df,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,uncultured_bacterium
9c28f4debbde4384efe06f56fb9ef4b7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,
f84173c9541a2a236be7b9b7c8152ddf,Bacteria,Desulfobacterota,Desulfuromonadia,Bradymonadales,Bradymonadales,Bradymonadales,delta_proteobacterium
50d5dabedaca70a955e6a9a6e6129f62,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,
cb1f8e1273cc551684a8c135da29649f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter_clade_NAC11-7_lineage,
774d904326aba921c8bf925a39381c17,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),uncultured_bacterium
dc297483b65e0caebc2d40f2d1eba7d8,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum,uncultured_marine
8fddf2aa435a16aa713808d74b147248,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Schleiferiaceae,Schleiferia,uncultured_Bacteroidetes
be4f66bc843adec0e16c7f52b377166b,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudahrensia,uncultured_bacterium
43325388c3e674533ac5460295c63a6d,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,,
d792aa78362740d419b736a5cfcd0ade,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,uncultured_marine
04d70a5ad6e8c350e33e442f598a7068,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,uncultured,uncultured_sediment
1b63c7f5e1e964d97d1cb9ee20d3b341,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,uncultured,uncultured_marine
cc632029c402c58c1b33c435a2ecd422,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Cerasicoccus,
8eb1f2baa54bb2d156a6463ff3273ba1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Leucothrix,
43c7110dac8bd5c6f635531e4d6498ff,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
2f47dec25baf25799d753f6034782e20,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,uncultured,uncultured_Bacteroidetes
