OTU,BT1,BT10,BT11,BT12,BT2,BT3,BT4,BT5,BT6,BT7,BT8,BT9,BTQ1,BTQ10,BTQ11,BTQ12,BTQ2,BTQ3,BTQ4,BTQ5,BTQ6,BTQ7,BTQ8,BTQ9,PCRNeg,PSO1,PSO10,PSO11,PSO12,PSO2,PSO4,PSO5,PSO6,PSO7,PSO8,PSO9,PSP1,PSP10,PSP11,PSP12,PSP2,PSP3,PSP4,PSP5,PSP6,PSP7,PSP8,PSP9,ZYMO1,ZYMO10,ZYMO11,ZYMO12,ZYMO2,ZYMO3,ZYMO4,ZYMO5,ZYMO6,ZYMO7,ZYMO8,ZYMO9
59c7c61d2664e0e6ec70dd616f1cac07,0,0,0,0,0,0,0,20,0,0,0,0,38,56,0,0,86,0,0,0,0,0,18,0,0,0,41,0,0,0,0,0,0,0,0,0,162,0,0,0,16,0,0,21,0,0,0,0,0,0,0,0,57,0,0,62,0,0,0,0
d393b27e1c374e296fe4bf6e84a84b74,0,92,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352d45d6cd1aaa2977a57f0a7fcd6761,0,129,0,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,202
d93a66072cb173cc2284bef2d27ba3ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,0,0,0,0,0,0,0,0,569,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,255,0,0,0,0,0,0
690cda8ca74e0d783e364f1482728a20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,122,0,0,0,0,0,0,0,0,0,0,125,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3e3e138d0752a1d068036052a5fa81c3,0,98,0,0,121,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910c94270e218bab2b3358a9389f4321,404,69,0,0,159,0,0,0,0,3610,10,0,684,0,0,0,699,0,163,6,0,261,0,82,0,0,68,0,0,65,0,0,0,5865,0,127,371,0,0,0,1511,0,0,0,19,344,0,0,2412,0,0,0,1511,0,646,0,25,323,0,62
17bf1c4193c9201ea2c3723a40de1bc5,0,0,0,0,0,0,0,23,56,36,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,22,0,0,39,0,0,0,91,0,0,34,11,0,0,0,0,42,0,0,77,0,0,60,67,0,31,0
29ba5eb690c157068ddba68550350939,31,34,0,0,31,0,0,38,0,0,0,0,0,98,0,0,56,0,38,37,0,0,0,0,0,0,78,0,0,0,6,42,0,41,0,22,97,0,0,0,0,0,0,92,0,15,0,0,54,44,0,0,109,39,12,98,54,9,0,0
732f6f8fe852d8ab20ed37a604e6a7ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,167,0,0,0,0,0,0,14,0,0,147,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0
9675b3d0c93f4f5e5943beacfc2a2cc1,0,44,0,0,52,0,36,86,13,58,0,0,58,37,0,0,0,0,92,81,31,0,0,0,0,0,73,0,0,0,0,85,0,134,0,0,107,59,0,0,0,16,0,160,0,0,0,19,37,0,0,0,72,0,9,128,83,25,0,23
01af28c041ace23765034a60788e2bc0,0,81,0,0,36,0,0,0,0,0,36,0,0,72,0,0,0,36,0,0,0,0,13,0,0,0,0,0,0,0,0,49,0,80,0,83,0,35,0,0,0,0,0,90,0,0,0,33,0,21,0,0,0,0,0,0,0,0,0,0
44ba2d1cf539783ba2a920f9e1e857e2,0,870,0,0,0,0,0,0,0,0,0,0,1207,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0
6e81887c4f6d64bd24872062aff3a4dd,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,180,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10158c19121a55cc45bc5175c45134b0,0,0,0,0,0,0,0,22,0,47,0,0,0,14,0,0,38,0,54,65,29,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,12,0,0,0,0,0,0,26,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3546036aaaade873870fe9c2d0ae4703,0,0,0,0,16,80,0,0,107,0,0,0,0,0,0,0,0,45252,0,0,191,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,28661,0,0,125,0,0,0,0,0,0,0,0,33096,0,0,184,0,0,0
53014084d413d43bcfd2abe052f8dbeb,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62eaff49363bfacdb34a6f6cf0131dbe,70,55,0,81,80,0,79,69,0,102,64,167,0,0,58,522,0,23,0,0,82,0,63,0,0,0,0,6,325,0,0,0,48,26,0,0,21,112,151,526,113,0,0,0,68,0,0,72,0,0,0,0,0,70,0,0,0,0,0,55
6349d1f11c2436584dc171186622e57f,0,53,0,0,0,0,0,28,13,0,0,0,0,290,0,0,58,0,0,0,0,0,0,0,0,0,144,0,0,0,0,33,0,78,0,446,0,0,0,0,0,0,0,41,0,0,0,0,0,65,0,0,143,0,0,68,207,0,0,122
f27a9c2f2c36c06584c50c42e573eadc,34,0,0,0,135,0,47,0,0,0,0,0,75,10,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,45,84,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0
afccc9afaf733f88c49baa6a53d33602,98,312,0,0,290,9,38,388,0,660,56,0,125,232,0,0,398,162,138,178,0,0,0,0,0,0,313,0,0,0,0,165,0,532,0,1421,443,226,0,0,203,0,0,1174,77,52,0,53,120,311,0,0,261,98,64,333,916,84,69,27
c2d97727c84db7ae8f9ea5185ac86bf1,203,219,0,0,146,0,41,208,0,62,0,75,214,531,0,0,176,61,58,81,0,0,58,0,0,0,0,0,0,0,0,0,0,65,0,0,186,128,0,0,62,29,0,254,61,36,0,0,97,95,0,0,282,0,0,233,54,45,26,0
f9d7ea36ecaf74bbb8be8836d0fb8e4d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,167,34,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0
e4127ab0196295071a40476edb550ebf,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,22,0,0,0,133,0,0,0,0,0,0,220,0,0,173,50,0,0,0,0,0,298,0,0,0,0,0,6,0,0,0,0,0,146,70,69,0,0
d4a00ea1498c6df1253c54c9645ccd05,0,0,0,0,0,0,38,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7121c03d58158aba9e45aaa0d7fc0a4d,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,156,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a8a1b7171afb4ce6d99a1f936c3166ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,44,0,0,0,0,27,0,0,111,0,27,0,0,0,0,0,0,26,0,0,37,48,0,0,0
ba25904c77fe53ff2d3c1c65a1a6658c,0,0,0,0,0,9,0,215,0,0,0,0,87,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
562f43fed62e0b5d37216196029d0d50,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
